鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段241~270號,10.42,商,,,1090324,土地1建物1車位1,六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229.0,133.29,3,2,2,有,有,8500000,68296.0,坡道機械,15.42,450000,,RPRPMLQJNHPFFEF09CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區淡金路二段91~120號,26.08,住,,,1090319,土地1建物1車位2,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970917.0,177.79000000000005,3,2,2,有,有,10400000,58496.0,坡道機械,20.5,0,,RPRPMLOJNHPFFEF88CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路一段91~120號,17.55,住,,,1090309,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061128.0,138.45,2,1,1,有,有,7300000,58157.0,坡道平面,37.86,1450000,"房地交易總價含機車停車位價款新台幣50,000元機車停車位面積6.24平方公尺。本案簽訂日期108.09.29，於109.03.09讓渡。",RPUNMLLJNHPFFEF68CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區北新路182巷31~60號,30.33,住,,,1090411,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900627.0,187.98,3,2,2,有,有,12500000,66496.0,坡道平面,42.49,0,,RPUQMLRLMHPFFEF07CA,新北市
淡水區,房地(土地+建物),新北市淡水區沙崙路211~240號,9.46,住,,,1090321,土地1建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840114.0,119.89,4,2,2,有,有,6080000,50713.0,,0.0,0,,RPVOMLSLMHPFFEF07CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段151~180號,21.78,住,,,1090327,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031127.0,180.63,3,2,2,有,有,10250000,56746.0,坡道平面,28.7,0,,RPOSMLSLMHPFFEF76CA,新北市
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段126巷61~90號,17.06,住,,,1090120,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824.0,128.65,2,2,2,有,有,10350000,86003.0,坡道平面,22.84,1250000,,RPQOMLTLMHPFFEF66CA,新北市
汐止區,房地(土地+建物),新北市汐止區大同路二段241~270號,6.22,住,,,1090326,土地1建物1車位0,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223.0,69.25,2,1,1,有,有,9000000,129964.0,,0.0,0,含增建或未登記建物。;,RPQOMLRLMHPFFDF98CA,新北市
新店區,房地(土地+建物)+車位,新北市新店區達觀路14巷1~30號,66.85,,山坡地保育區,丙種建築用地,1090324,土地2建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850710.0,176.5,4,2,2,有,有,8680000,49178.0,坡道平面,0.0,0,,RPUOMLSJNHPFFCF66CA,新北市
新店區,房地(土地+建物)+車位,新北市新店區寶橋路78巷61~90號,15.01,住,,,1090320,土地1建物1車位1,十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020829.0,182.93,3,2,2,有,有,28300000,154704.0,坡道平面,26.42,0,含增建或未登記建物。;,RPSOMLSLMHPFFCF56CA,新北市
泰山區,房地(土地+建物),新北市泰山區仁愛路61~90號,5.71,商,,,1090401,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920304.0,63.98,3,1,1,有,有,6000000,93779.0,,0.0,0,,RPPVMLSKNHPFFBF86CA,新北市
板橋區,房地(土地+建物)+車位,新北市板橋區重慶路241~270號,17.54,其他,,,1090304,土地1建物1車位2,二十九層,三十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,811208.0,259.48,4,2,2,有,有,18000000,69370.0,坡道機械,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXRMLRJNHPFFAF96CA,新北市
板橋區,房地(土地+建物)+車位,新北市板橋區館前西路271~300號,12.89,住,,,1090204,土地1建物1車位1,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,921008.0,165.64,3,2,2,有,有,16800000,101425.0,坡道平面,46.15,0,,RPQOMLRLMHPFFAF68CA,新北市
板橋區,房地(土地+建物)+車位,新北市板橋區區運路91~120號,20.77,其他,,,1090309,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,980115.0,337.29,4,2,4,有,有,56000000,166029.0,坡道平面,26.04,0,,RPRRMLRLMHPFFAF09CA,新北市
